Step,X_ref,Y_ref,X_act,Y_act,Lat_Error,Delta_f,Vx,X_est,Y_est
262,121.5,-5.58149,120.809,-5.87841,-0.0391319,0.026902,10.0425,120.725,-5.97122
263,122,-5.34926,121.265,-5.66861,-0.0648816,0.135175,10.0443,121.184,-5.83344
264,122.5,-5.11573,121.714,-5.4408,-0.0324334,0.0349818,10.0452,121.713,-5.49707
265,123,-4.88106,122.172,-5.2339,0.00465207,0.0485633,10.0448,122.22,-5.25603
266,123.5,-4.64541,122.623,-5.01339,0.0713091,0.0428478,10.0432,122.66,-4.98375
267,124,-4.40892,123.073,-4.7904,0.17344,-0.0403457,10.0467,123.129,-4.66941
268,124.5,-4.17176,123.531,-4.58268,0.155089,-0.102273,10.0447,123.604,-4.39061
269,125,-3.93408,123.994,-4.3864,-0.116769,-0.198299,10.0441,124.015,-4.41211
270,125.5,-3.69603,124.468,-4.21643,-0.166094,-0.026511,10.0452,124.532,-4.26512
271,126,-3.45777,124.929,-4.01632,-0.0411172,0.146908,10.0448,125.046,-4.0107
272,126.5,-3.21944,125.379,-3.79064,-0.0408536,0.182635,10.0427,125.615,-3.75194
273,127,-2.98122,125.826,-3.5583,-0.129433,0.00938263,10.0414,126.146,-3.52111
274,127.5,-2.74325,126.285,-3.3536,-0.115891,-0.0667265,10.044,126.489,-3.32958
275,128,-2.50569,126.745,-3.15231,-0.134476,0.106339,10.0419,126.978,-3.15967
276,128,-2.50569,127.186,-2.91016,-0.158415,0.10342,10.0449,127.385,-2.96915
277,128.5,-2.26868,127.629,-2.67279,-0.162205,0.129586,10.0478,127.835,-2.76793
278,129,-2.0324,128.065,-2.42131,-0.101136,0.158334,10.0489,128.233,-2.6179
279,129.5,-1.79698,128.492,-2.15417,0.198049,0.138129,10.0558,128.536,-2.22012
280,130,-1.56258,128.915,-1.88074,0.39235,-0.0364042,10.0608,128.894,-1.77458
281,130,-1.56258,129.353,-1.6328,0.329817,-0.198135,10.06,129.2,-1.61946
282,131,-1.09745,129.807,-1.41037,0.376514,-0.200343,10.0631,129.731,-1.27471
283,131.5,-0.867025,130.263,-1.19299,0.36102,-0.203442,10.0721,130.216,-1.04103
284,131.5,-0.867025,130.726,-0.99329,0.291877,-0.201291,10.0773,130.623,-0.933224
285,132,-0.638222,131.198,-0.811321,0.230525,-0.198926,10.0778,131.107,-0.657629
286,132.5,-0.411191,131.675,-0.647383,0.0289445,-0.195467,10.0715,131.624,-0.605412
287,133,-0.186078,132.158,-0.501116,0.070311,-0.0220208,10.0715,132.15,-0.388312
288,133.5,0.0369704,132.632,-0.331283,-0.0405378,0.151191,10.0702,132.695,-0.323002
289,134,0.257811,133.098,-0.135269,-0.0383187,0.099165,10.0696,133.045,-0.169242
290,134.5,0.4763,133.567,0.0471466,0.0564702,0.156009,10.0715,133.513,0.07447
291,135,0.692296,134.027,0.255643,-0.0632048,0.0167878,10.0716,133.988,0.20874
292,135.5,0.905661,134.495,0.440931,0.0646438,-0.0840405,10.0688,134.396,0.540217
293,136,1.11626,134.968,0.614455,0.00762681,0.0895633,10.0679,134.905,0.621099
294,136.5,1.32395,135.424,0.830171,-0.0946952,-0.0597764,10.0713,135.412,0.756636
295,137,1.5286,135.897,1.00523,-0.122456,-0.0391867,10.0722,135.933,0.950053
296,137.5,1.73008,136.365,1.19038,-0.0219971,-0.0272719,10.0667,136.329,1.23851
297,138,1.92825,136.833,1.37407,-0.118973,0.0215955,10.0621,136.935,1.37307
298,138.5,2.123,137.298,1.56563,-0.03304,-0.0252054,10.0584,137.484,1.68931
299,139,2.31419,137.769,1.74411,0.0122674,0.0440408,10.0582,137.826,1.88746
300,139,2.31419,138.232,1.94027,-0.234864,-0.05215,10.056,138.356,1.87507
301,139.5,2.50171,138.704,2.11229,-0.218553,0.0159426,10.0534,138.784,2.0041
302,140,2.68542,139.169,2.30296,-0.206003,0.188619,10.0497,139.344,2.10908
303,140.5,2.86522,139.619,2.5313,-0.0567632,0.0375404,10.0509,139.752,2.45587
304,141,3.04098,140.083,2.72651,-0.0484149,-0.12183,10.0505,140.157,2.71303
305,141.5,3.2126,140.556,2.89892,-0.060103,-0.132347,10.053,140.624,2.85587
306,142,3.37996,141.029,3.07115,0.216576,0.0312024,10.0548,141.138,3.19305
307,142.5,3.54296,141.491,3.27162,0.0691079,-0.0360727,10.0573,141.462,3.25667
308,143,3.70148,141.962,3.44579,-0.0650486,-0.199842,10.0586,142.027,3.37456
309,143.5,3.85544,142.449,3.58227,-0.146701,-0.0516705,10.0597,142.544,3.42628
310,144,4.00472,142.923,3.74948,0.00862601,0.0399832,10.0587,143.027,3.70528
311,144.5,4.14924,143.396,3.92304,0.0324568,0.0569307,10.0619,143.392,3.79267
312,145,4.28889,143.868,4.09608,0.157916,-0.0880486,10.0619,143.802,4.08021
313,145.5,4.4236,144.352,4.23777,0.109268,-0.14868,10.0618,144.354,4.28415
314,146,4.55327,144.839,4.36833,0.0453599,-0.164372,10.0628,144.891,4.35778
315,146.5,4.67782,145.329,4.48671,0.0710242,0.00818476,10.0623,145.343,4.42023
316,147,4.79717,145.81,4.63349,0.083163,-0.0173024,10.0599,145.862,4.60039
317,147.5,4.91124,146.297,4.76061,-0.0224446,-0.127453,10.0591,146.314,4.66127
318,147.5,4.91124,146.791,4.86026,-0.0281878,-0.0705642,10.0629,146.743,4.75146
319,148.5,5.12327,147.282,4.97141,0.0659581,0.0249115,10.063,147.306,4.95182
320,148.5,5.12327,147.77,5.09553,0.0610405,0.0268476,10.0647,147.696,5.03033
321,149.5,5.31336,148.259,5.21416,0.100035,-0.0647783,10.0635,148.264,5.17452
322,149.5,5.31336,148.753,5.312,0.28996,-0.0335403,10.0644,148.639,5.39505
323,150,5.40001,149.244,5.41921,0.265198,-0.136367,10.0642,149.187,5.53912
324,151,5.55629,149.743,5.4954,0.166947,-0.198043,10.0621,149.758,5.57437
325,151,5.55629,150.244,5.55127,0.13938,-0.106129,10.058,150.166,5.61528
326,151.5,5.6258,150.743,5.617,0.0157357,-0.0640384,10.0581,150.724,5.5744
327,152,5.68951,151.242,5.67565,0.0849725,-0.0146693,10.0549,151.193,5.64361
328,152.5,5.74736,151.741,5.73664,0.121033,0.00981497,10.0513,151.587,5.77243
329,153,5.79933,152.239,5.79825,0.0594491,-0.143319,10.0482,152.17,5.887
330,153.5,5.84538,152.743,5.81968,0.0843319,-0.0366288,10.042,152.691,5.90364
331,154,5.88547,153.242,5.86738,0.148125,0.0987365,10.0397,153.209,5.92965
332,155,5.94772,153.74,5.93778,0.0128905,-0.0383949,10.0389,153.775,5.9204
333,155,5.94772,154.241,5.97058,0.0664261,-0.160004,10.0429,154.195,5.99167
334,155.5,5.96982,154.745,5.97986,0.0802046,0.00979768,10.0373,154.708,5.98285
335,156.5,5.99594,155.244,6.02819,0.0277044,-0.0971697,10.0364,155.279,6.01103
336,156.5,5.99594,155.747,6.03612,-0.0688374,-0.09242,10.0376,155.737,5.92079
337,157.5,5.99786,156.249,6.04402,-0.0678091,-0.0569344,10.0334,156.292,5.96204
338,158,5.98975,156.75,6.05248,-0.237728,-0.0139727,10.032,156.759,5.79908
339,158,5.98975,157.252,6.06328,-0.176947,0.0119089,10.0304,157.143,5.799
340,158.5,5.9756,157.753,6.07557,-0.0491081,0.0786972,10.0279,157.693,5.88627
341,159,5.95541,158.254,6.10378,-0.0298193,-0.0777737,10.0252,158.165,5.9283
342,159.5,5.9292,158.756,6.09384,0.136229,-0.114632,10.0289,158.647,6.04482
343,160.5,5.8588,159.258,6.08005,0.170477,-0.107786,10.0293,159.29,6.05161
344,160.5,5.8588,159.759,6.0609,0.187346,-0.198275,10.0269,159.773,6.18081
345,161.5,5.76456,160.259,6.00762,0.174574,-0.199057,10.026,160.35,6.10843
346,161.5,5.76456,160.758,5.9428,0.149283,-0.0250986,10.0274,160.755,5.98341
347,162,5.70857,161.258,5.90381,0.0641809,-0.057658,10.0287,161.224,5.9081
348,163,5.57906,161.755,5.83935,-0.115492,-0.0870625,10.0313,161.858,5.69962
349,163.5,5.50561,162.251,5.76397,-0.00312508,0.0197896,10.0337,162.275,5.68601
350,163.5,5.50561,162.751,5.71032,0.23642,0.123422,10.038,162.755,5.72415
351,164,5.42643,163.252,5.67594,0.372137,-0.0511105,10.0421,163.137,5.86844
352,164.5,5.34157,163.749,5.59981,0.174534,-0.198327,10.0394,163.736,5.65862
353,165,5.25108,164.242,5.49584,-0.137511,-0.198374,10.0372,164.133,5.35166
354,165.5,5.15503,164.733,5.38648,0.0587668,-0.0887757,10.0372,164.681,5.38252
355,166,5.05346,165.225,5.28646,0.21866,0.0850514,10.0365,165.168,5.35339
356,166.5,4.94646,165.722,5.2123,-0.0321791,-0.0861564,10.0358,165.529,5.16922
357,167,4.83408,166.21,5.08834,-0.0119436,-0.200097,10.0366,166.176,5.0906
358,167.5,4.7164,166.692,4.94149,0.013995,-0.0257812,10.038,166.714,4.95646
359,168,4.5935,167.181,4.82993,0.0872251,0.0733051,10.0396,167.251,4.87387
360,168.5,4.46545,167.673,4.72641,0.0653504,0.0138398,10.0389,167.606,4.78
361,169,4.33234,168.16,4.60597,0.0723292,-0.0573109,10.0362,168.229,4.61589
362,169.5,4.19425,168.644,4.47387,0.0809274,-0.0349946,10.0379,168.671,4.47701
363,170,4.05127,169.13,4.3483,0.0308213,-0.0813648,10.0365,169.075,4.36231
364,170.5,3.9035,169.612,4.20637,-0.0421145,-0.109212,10.0351,169.618,4.13442
365,171,3.75102,170.09,4.05364,0.0504399,-0.0140006,10.0384,170.042,4.04055
366,171.5,3.59394,170.574,3.91674,0.140907,-0.018112,10.0414,170.545,3.96524
367,172,3.43236,171.054,3.76991,0.0550079,-0.145817,10.039,171.079,3.8019
368,172.5,3.26638,171.523,3.59008,0.0486976,-0.195833,10.0377,171.476,3.70711
369,173,3.0961,171.988,3.39547,0.0888927,-0.0216263,10.0395,171.949,3.54942
370,173.5,2.92165,172.462,3.22982,0.0352185,-0.00427557,10.041,172.391,3.3824
371,174,2.74312,172.931,3.05262,0.00894948,-0.0507702,10.0382,172.845,3.19083
372,174.5,2.56064,173.396,2.86191,0.0451238,0.03794,10.0308,173.373,3.00156
373,175,2.37433,173.867,2.69193,0.119915,-0.0283215,10.019,173.867,2.92545
374,175.5,2.18429,174.33,2.50292,0.072788,-0.064938,10.0097,174.36,2.6824
375,175.5,2.18429,174.791,2.30759,-0.0733637,-0.0802929,10.0052,174.79,2.42354
376,176,1.99066,175.249,2.10631,-0.218771,-0.0767788,9.99826,175.142,2.13889
377,176.5,1.79357,175.704,1.90022,-0.137002,0.0961166,9.99303,175.574,1.9384
378,177,1.59312,176.174,1.72781,0.0651897,0.197181,9.98779,176.245,1.85614
379,177.5,1.38947,176.651,1.57429,0.132294,0.0237526,9.98491,176.729,1.82104
380,178,1.18273,177.115,1.38871,-0.0283132,-0.149861,9.98314,177.243,1.54686
381,178.5,0.97305,177.569,1.17737,-0.172545,-0.103119,9.98173,177.692,1.19715
382,179,0.760552,178.027,0.978735,-0.20461,0.0701115,9.97785,178.167,0.864447
383,179.5,0.545378,178.496,0.808605,-0.0977142,0.19836,9.97467,178.627,0.722608
384,180,0.327668,178.975,0.661047,-0.131958,0.0282868,9.97214,179.079,0.575965
385,180.5,0.107561,179.439,0.480138,-0.124715,-0.106791,9.97109,179.465,0.426055
386,181,-0.114799,179.898,0.282734,0.0249367,0.0673954,9.97115,179.932,0.276897
387,181.5,-0.33927,180.373,0.129074,-0.0301585,-0.0267443,9.97361,180.356,0.0790998
388,181.5,-0.33927,180.837,-0.0548511,-0.184543,-0.173774,9.97231,180.771,-0.152347
389,182,-0.565706,181.289,-0.269559,-0.0109234,-0.064606,9.96913,181.322,-0.285726
390,182.5,-0.793961,181.749,-0.46108,-0.0822715,0.108931,9.96709,181.65,-0.550856
391,183,-1.02389,182.221,-0.625812,-0.110882,-0.0656022,9.97448,182.182,-0.740668
392,183.5,-1.25533,182.674,-0.836485,0.0510535,0.0116698,9.98039,182.71,-0.900659
393,184,-1.48815,183.137,-1.02125,0.123529,0.120978,9.98263,183.187,-1.08063
394,184.5,-1.72219,183.61,-1.18451,0.0924942,-0.0535554,9.9872,183.694,-1.29501
395,185,-1.95731,184.067,-1.38759,-0.154322,-0.196527,9.98585,184.073,-1.61218
396,185.5,-2.19333,184.513,-1.61569,-0.0060204,-0.11333,9.98193,184.467,-1.68006
397,186,-2.43012,184.965,-1.82893,0.0235876,0.0597808,9.97712,184.996,-1.91769
398,186.5,-2.66753,185.427,-2.01796,-0.178882,0.0353466,9.97645,185.423,-2.33411
399,187,-2.90538,185.882,-2.2213,-0.0770184,0.0298377,9.97603,185.931,-2.50264
400,187.5,-3.14354,186.34,-2.42141,0.130373,0.202099,9.97972,186.408,-2.64954
401,188,-3.38185,186.816,-2.57791,0.0950644,0.0275659,9.98409,186.859,-2.83007
402,188,-3.38185,187.277,-2.77121,0.106372,-0.146967,9.9895,187.249,-2.92282
403,188.5,-3.62015,187.728,-2.99049,0.0791719,-0.184213,9.9918,187.652,-3.11444
404,189,-3.85829,188.174,-3.21663,0.147211,-0.150283,9.99286,188.099,-3.24428
405,189.5,-4.0961,188.618,-3.44727,0.148359,-0.0135044,9.99281,188.582,-3.47836
406,190,-4.33345,189.07,-3.66204,0.180927,-0.145327,9.99771,189.091,-3.58809
407,190.5,-4.57016,189.5,-3.91864,0.122619,0.0187147,9.99927,189.478,-3.90086
408,191,-4.8061,189.949,-4.14055,0.198321,0.0716308,9.9966,189.956,-4.05214
409,191,-4.8061,190.398,-4.36053,0.234814,0.038961,9.99401,190.401,-4.22253
410,191.5,-5.04109,190.843,-4.58645,0.114131,-0.119554,9.99242,190.872,-4.49845
411,192,-5.275,191.273,-4.84259,0.121065,0.0112273,9.98894,191.396,-4.83162
412,192.5,-5.50767,191.72,-5.0669,0.0607273,0.125898,9.98944,191.727,-5.07793
413,193,-5.73894,192.176,-5.27383,0.0549439,-0.0486347,9.99221,192.174,-5.23341
414,193.5,-5.96866,192.611,-5.51899,-0.00354687,0.0460713,9.99204,192.596,-5.55656
415,194,-6.19669,193.063,-5.73365,0.0878171,0.0417222,9.99313,193.087,-5.70874
416,194.5,-6.42287,193.513,-5.95186,0.0841891,0.026274,9.9959,193.542,-5.90135
417,195,-6.64706,193.962,-6.17031,-0.0407309,-0.148259,9.99759,193.921,-6.10693
418,195.5,-6.8691,194.394,-6.42537,0.0773515,0.0201269,10,194.453,-6.31409
419,196,-7.08886,194.846,-6.64114,0.0441546,0.159187,9.99936,194.936,-6.57899
420,196.5,-7.30618,195.308,-6.83576,-0.000206059,-0.0148287,9.99851,195.412,-6.77751
421,197,-7.52093,195.751,-7.0678,0.0184719,0.0445132,9.9963,195.857,-6.97328
422,197.5,-7.73296,196.206,-7.27428,-0.197473,0.0731037,9.99429,196.328,-7.41067
423,198,-7.94213,196.664,-7.4741,-0.237532,0.0707557,9.99603,196.813,-7.692
424,198,-7.94213,197.124,-7.67073,-0.325063,0.169476,9.99545,197.086,-7.94572
425,198.5,-8.1483,197.597,-7.83792,-0.233381,0.10875,9.99743,197.677,-8.10462
426,199,-8.35135,198.065,-8.01193,0.0682797,0.200905,9.99839,198.048,-8.05159
427,199.5,-8.55112,198.548,-8.1497,0.0210842,0.118814,9.99946,198.582,-8.27028
428,200,-8.7475,199.026,-8.29595,0.123175,-0.0557194,10.0039,199.08,-8.35118
429,200.5,-8.94034,199.497,-8.4678,0.264599,-0.185011,10.0083,199.553,-8.36242
430,201,-9.12953,199.961,-8.66171,0.145755,-0.20273,10.0132,199.977,-8.56353
431,201.5,-9.31493,200.42,-8.86534,-0.00927872,-0.200051,10.0138,200.383,-8.83696
432,202,-9.49642,200.871,-9.08438,-0.0622596,-0.0255182,10.0154,200.9,-9.03925
433,202.5,-9.67388,201.332,-9.28011,-0.0282481,0.148915,10.0162,201.388,-9.28125
434,202.5,-9.67388,201.805,-9.45102,-0.109807,0.201189,10.0181,201.726,-9.53415
435,203.5,-10.0162,202.281,-9.61036,-0.117898,0.077468,10.0171,202.408,-9.70925
436,204,-10.1809,202.751,-9.78538,-0.0881265,0.0606772,10.0176,202.8,-9.84662
437,204,-10.1809,203.225,-9.94754,0.0731691,0.168178,10.0185,203.243,-9.96064
438,204.5,-10.3411,203.71,-10.0763,0.104502,0.0806528,10.0175,203.663,-10.0229
439,205,-10.4966,204.19,-10.2197,0.048104,-0.093171,10.015,204.147,-10.1686
440,205.5,-10.6475,204.661,-10.3916,-0.0354687,-0.0931262,10.0138,204.566,-10.2908
441,206,-10.7935,205.134,-10.5572,0.039923,0.0442056,10.0102,205.106,-10.5004
442,206.5,-10.9347,205.615,-10.6974,0.0493275,0.19904,10.0078,205.534,-10.6433
443,207,-11.0708,206.105,-10.8072,-0.0852109,0.0248633,10.0076,205.904,-10.8296
444,207.5,-11.2019,206.583,-10.9542,0.146733,0.0133735,10.0037,206.45,-10.7985
445,208,-11.3277,207.065,-11.0879,0.130134,0.11448,9.99627,206.926,-10.9836
446,208.5,-11.4483,207.554,-11.1935,0.114342,-0.0593955,9.99466,207.387,-11.0386
447,209,-11.5635,208.033,-11.3401,0.0400049,-0.0568617,9.99605,207.919,-11.259
448,209.5,-11.6732,208.513,-11.4777,0.0292642,0.0442745,9.99607,208.463,-11.4032
449,210,-11.7775,208.999,-11.5948,0.0188277,0.0462918,9.99006,208.996,-11.4912
450,210.5,-11.8761,209.484,-11.716,0.134965,0.0805409,9.98998,209.538,-11.5423
451,211,-11.9691,209.972,-11.8249,0.0462605,0.136209,9.9879,210.18,-11.788
452,211.5,-12.0563,210.463,-11.9151,-0.00609755,-0.0155455,9.98603,210.627,-11.8231
453,212,-12.1378,210.948,-12.0352,-0.200641,0.0452691,9.98202,211.139,-12.1306
454,212.5,-12.2134,211.439,-12.129,-0.0602239,0.18742,9.98352,211.566,-12.1538
455,213,-12.283,211.936,-12.1876,0.0198789,0.201962,9.98648,211.84,-12.178
456,213.5,-12.3467,212.435,-12.2371,-0.0901733,0.0281191,9.98749,212.325,-12.2475
457,214,-12.4044,212.928,-12.3131,-0.299475,-0.0687157,9.98677,212.858,-12.464
458,214.5,-12.4561,213.421,-12.3962,-0.130629,0.105817,9.9917,213.415,-12.4551
459,215,-12.5016,213.921,-12.4328,0.205741,0.201143,9.99254,213.974,-12.252
460,215.5,-12.541,214.422,-12.4499,0.260368,0.129812,9.99328,214.484,-12.2415
461,216,-12.5742,214.921,-12.4748,0.0793199,-0.044356,9.99273,215.052,-12.3971
462,216.5,-12.6012,215.419,-12.5258,0.0220948,-0.0938356,9.99187,215.406,-12.4526
463,217,-12.6219,215.916,-12.5785,-0.0354866,0.0806974,9.99446,215.91,-12.5806
464,217.5,-12.6364,216.417,-12.5909,-0.07177,0.135388,9.99896,216.267,-12.6696
465,218,-12.6446,216.918,-12.5966,-0.0862382,0.133516,10.0051,216.814,-12.7079
466,218.5,-12.6466,217.419,-12.5952,-0.0347051,0.0876107,10.0127,217.333,-12.6715
467,219,-12.6422,217.92,-12.5926,0.0624596,0.102757,10.0168,217.932,-12.6518
468,219.5,-12.6316,218.421,-12.5737,0.0950875,0.0635667,10.0178,218.352,-12.5954
469,220,-12.6146,218.921,-12.5562,-0.16271,-0.0800337,10.0172,218.886,-12.7315
470,220.5,-12.5913,219.423,-12.5662,-0.119775,0.00562787,10.021,219.436,-12.7403
471,221,-12.5617,219.924,-12.5495,-0.0553755,0.179871,10.0204,220.05,-12.7143
472,221.5,-12.5258,220.424,-12.4946,-0.111242,0.106803,10.019,220.592,-12.6972
473,222,-12.4836,220.924,-12.4565,0.0447234,0.0305309,10.0209,220.924,-12.5021
474,222.5,-12.4351,221.424,-12.422,0.0286735,0.117659,10.0267,221.473,-12.503
475,223,-12.3804,221.922,-12.3554,0.0770328,0.0554173,10.0297,222.088,-12.4119
476,223.5,-12.3195,222.42,-12.3006,0.18927,0.077065,10.0297,222.52,-12.284
477,224,-12.2524,222.917,-12.2303,0.187047,-0.0100293,10.0283,222.952,-12.1581
478,224.5,-12.1791,223.415,-12.1762,0.0470642,-0.0622326,10.0256,223.515,-12.2022
479,225,-12.0997,223.915,-12.1292,0.115634,0.0886592,10.0255,224.104,-12.137
480,225.5,-12.0142,224.409,-12.0451,0.119234,0.130685,10.0207,224.576,-12.0793
481,226,-11.9226,224.903,-11.9546,0.24023,-0.0163198,10.0153,224.968,-11.8271
482,226.5,-11.825,225.4,-11.8932,0.176378,-0.00076973,10.0122,225.513,-11.8094
483,227,-11.7215,225.894,-11.8171,0.122656,0.0204369,10.0119,225.822,-11.7802
484,227.5,-11.6121,226.388,-11.7363,0.10273,0.0449874,10.0095,226.438,-11.6835
485,228,-11.4969,226.881,-11.6495,-0.109721,0.116963,10.0071,226.944,-11.8314
486,228.5,-11.3759,227.371,-11.5424,-0.0535487,0.0927383,10.0076,227.414,-11.6405
487,229,-11.2491,227.86,-11.4366,-0.0704262,0.138528,10.0094,227.969,-11.5364
488,229.5,-11.1168,228.345,-11.3088,-0.00632998,0.136518,10.0139,228.478,-11.385
489,230,-10.9788,228.827,-11.1724,0.0488966,0.145088,10.0156,228.945,-11.3057
490,230.5,-10.8354,229.305,-11.0213,0.152069,0.0423839,10.0153,229.311,-11.0747
491,230.5,-10.8354,229.787,-10.883,0.071098,-0.131775,10.0146,229.744,-10.9152
492,231.5,-10.5324,230.277,-10.7752,0.118079,-0.077571,10.0123,230.301,-10.7178
493,232,-10.3729,230.762,-10.6517,0.209642,0.0965081,10.0118,230.783,-10.5133
494,232,-10.3729,231.239,-10.4963,0.00736253,0.0822643,10.0089,231.104,-10.6048
495,232.5,-10.2084,231.718,-10.3505,-0.0283956,0.0324035,10.008,231.689,-10.4584
496,233,-10.0387,232.198,-10.2088,0.151575,0.12889,10.0043,232.048,-10.2469
497,233.5,-9.86409,232.668,-10.0361,0.0395052,0.0926985,10.007,232.734,-10.0764
498,234,-9.6846,233.14,-9.86815,0.0213507,-0.0818345,10.0124,233.167,-9.86133
499,234.5,-9.50035,233.623,-9.73166,0.131321,0.0926985,10.0131,233.628,-9.68875
500,235,-9.31143,234.088,-9.54597,0.105581,0.13617,10.0144,233.971,-9.58599
501,235.5,-9.11795,234.552,-9.35497,0.155533,-0.0378463,10.0131,234.466,-9.28884
502,236,-8.92003,235.028,-9.198,0.250903,0.0432971,10.0139,234.955,-9.06389
503,236.5,-8.71777,235.493,-9.01101,0.274162,0.035669,10.0163,235.436,-8.8434
504,237,-8.5113,235.959,-8.8277,0.108099,-0.0724042,10.0179,236.004,-8.69444
505,237.5,-8.30073,236.434,-8.66699,-0.0409254,-0.0337814,10.0169,236.484,-8.69332
506,238,-8.08619,236.904,-8.49492,0.0155175,0.139792,10.0137,236.933,-8.53105
507,238.5,-7.86778,237.361,-8.2869,0.0150646,0.14384,10.0114,237.337,-8.37319
508,239,-7.64566,237.818,-8.07978,-0.0962771,0.015098,10.0128,237.88,-8.19843
509,239.5,-7.41993,238.281,-7.89146,0.0102164,0.017527,10.009,238.368,-7.88715
510,240,-7.19073,238.74,-7.69105,0.150012,0.136916,10.004,238.897,-7.59895
511,240,-7.19073,239.184,-7.46104,0.224834,0.0318703,9.99349,239.187,-7.34964
512,240.5,-6.9582,239.639,-7.25342,0.0132531,-0.140991,9.98694,239.68,-7.2184
513,241,-6.72247,240.107,-7.07547,-0.108121,-0.197204,9.98057,240.218,-7.06636
514,241.5,-6.48367,240.578,-6.90943,-0.106785,-0.0242798,9.97318,240.633,-6.9661
515,242,-6.24194,241.038,-6.71532,0.00348904,0.150068,9.97197,241.078,-6.64909
516,242.5,-5.99744,241.487,-6.49563,0.025586,0.130772,9.97088,241.572,-6.4268
517,243,-5.75029,241.938,-6.28203,0.0478933,0.0852166,9.9691,241.988,-6.14736
